line_id,line_code,line_name,forward_line_name,backward_line_name,line_color,line_text_color,line_sort_order,network_id,commercial_mode_id,geometry_id,line_opening_time,line_closing_time
route:1,line:1,,,,,,,default_agency_id,Metro,,,
route:101,line:101,,,,,,,default_agency_id,Train,,,
route:1010,line:1010,,,,,,,default_agency_id,Ferry,,,
route:1111,line:1111,,,,,,,default_agency_id,Air,,,
route:1200,line:1200,,,,,,,default_agency_id,Ferry,,,
route:1303,line:1303,,,,,,,default_agency_id,SuspendedCableCar,,,
route:1402,line:1402,,,,,,,default_agency_id,Funicular,,,
route:1505,line:1505,,,,,,,default_agency_id,Taxi,,,
route:1604,line:1604,,,,,,,default_agency_id,UnknownMode,,,
route:1666,line:1666,,,,,,,default_agency_id,UnknownMode,,,
route:1702,line:1702,,,,,,,default_agency_id,UnknownMode,,,
route:2,line:2,,,,,,,default_agency_id,Train,,,
route:203,line:203,,,,,,,default_agency_id,Coach,,,
route:3,line:3,,,,,,,default_agency_id,Bus,,,
route:313,line:313,,,,,,,default_agency_id,Train,,,
route:4,line:4,,,,,,,default_agency_id,Ferry,,,
route:403,line:403,,,,,,,default_agency_id,Metro,,,
route:5,line:5,,,,,,,default_agency_id,CableCar,,,
route:51,line:51,,,,,,,default_agency_id,UnknownMode,,,
route:555,line:555,,,,,,,default_agency_id,Metro,,,
route:6,line:6,,,,,,,default_agency_id,SuspendedCableCar,,,
route:666,line:666,,,,,,,default_agency_id,Metro,,,
route:7,line:7,,,,,,,default_agency_id,Funicular,,,
route:721,line:721,,,,,,,default_agency_id,Bus,,,
route:899,line:899,,,,,,,default_agency_id,Bus,,,
route:999,line:999,,,,,,,default_agency_id,Tramway,,,
