stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
stoparea:1,plop,48.844746,2.372987,1,
stop:11,pouet,48.844746,2.372987,0,stoparea:1
stop:12,pouet,48.844746,2.372987,0,stoparea:1
stop:13,pouet,48.844746,2.372987,0,stoparea:1
stop:14,pouet,48.844746,2.372987,0,stoparea:1
stop:21,pouet,48.844746,2.372987,0,stoparea:1
stop:22,pouet,48.844746,2.372987,0,stoparea:1
stop:31,pouet,48.844746,2.372987,0,stoparea:1
stop:32,pouet,48.844746,2.372987,0,stoparea:1
stop:33,pouet,48.844746,2.372987,0,stoparea:1
stop:51,pouet,48.844746,2.372987,0,stoparea:1
stop:52,pouet,48.844746,2.372987,0,stoparea:1
stop:53,pouet,48.844746,2.372987,0,stoparea:1
stop:61,pouet,48.844746,2.372987,0,stoparea:1
stop:62,pouet,48.844746,2.372987,0,stoparea:1
stop:71,pouet,48.844746,2.372987,0,stoparea:1
stop:72,pouet,48.844746,2.372987,0,stoparea:1
